CountryName,Indicator_Name,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,MEAN,Median,STDEV.P,Q25,Q50,Q75
Argentina,Population,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,37238421.91,37275652,2706861.236,34828170,37275652,39684295
Australia,Population,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,19569988.65,19413000,1663899.629,18072000,19413000,20827600
Brazil,Population,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,175971166.7,177196054,15357295.27,162019896,177196054,190130443
Canada,Population,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,31106521,31020902,2062755.713,29302311,31020902,32889025
China,Population,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1260382609,1271850000,64298113.69,1204855000,1271850000,1317885000
EuropeanUnion,Population,477725565,479155422,480544294,482059744,483264869,484222373,485063813,485855012,486597004,487497959,488221138,489015301,490252423,492063516,494028141,495983155,497844869,499790863,501683669,503194070,504298777,504005894,505096232,491194091.4,489015301,8554305.259,484222373,489015301,499790863
France,Population,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,61694656.35,61357430,2350333.259,59541899,61357430,64016225
UnitedKingdom,Population,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,59691620.43,59119673,1948653.998,58019030,59119673,61322463
Indonesia,Population,181413402,184591903,187739786,190851175,193917462,196934260,199901228,202826446,205724592,208615169,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,214647162.5,214427417,19915282.63,196934260,214427417,232374245
India,Population,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1073160308,1075000085,119787755.1,963922588,1075000085,1183209472
Italy,Population,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,57609229.7,56974100,970982.6165,56844303,56974100,58438310
Japan,Population,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,126593652.2,127149000,1460766.553,125439000,127149000,127833000
"Korea,Rep.",Population,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,46938306.35,47370164,2147103.628,45092991,47370164,48683638
Mexico,Population,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,100427457.9,100298153,9893395.616,91663285,100298153,109170502
SaudiArabia,Population,16233785,16772694,17282691,17763298,18214470,18638787,19033845,19407142,19783304,20194527,20663843,21202642,21805313,22456649,23132682,23816183,24498310,25184597,25888541,26630303,27421461,28267685,29155187,21889040.83,21202642,3787171.644,18638787,21202642,25184597
Turkey,Population,53921760,54840590,55748948,56653804,57564204,58486456,59423282,60372568,61329676,62287397,63240194,64192243,65145367,66089402,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,64117948.61,64192243,6165723.051,58486456,64192243,69581848
UnitedStates,Population,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,283644752.8,284968955,19386965.75,266278000,284968955,301231207
SouthAfrica,Population,36800509,37718950,38672607,39633750,40564059,41435758,42241011,42987461,43682260,44338543,44967708,45571274,46150913,46719196,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,45242480.48,45571274,4583385.169,41435758,45571274,49119759
Argentina,greenhouse_gas_emissions_(kt_of_CO2_equivalent),266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,328905.823,331450.87,44545.055,276522.7527,331450.87,372873.1438
Australia,greenhouse_gas_emissions_(kt_of_CO2_equivalent),482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,849163.1145,909262.03,264409.8581,508882.826,909262.03,1105167.236
Brazil,greenhouse_gas_emissions_(kt_of_CO2_equivalent),1606209.334,1569962.22,1649183.804,1772640.53,1455453.224,1574445.629,1613760.437,1647413.793,2263725.63,1595863.26,1222630.43,1277451.88,1591827.05,1624554.7,1967427.39,2386439.68,1621079.23,2703498.56,1532859.83,1211969.408,2902242.618,2953040.519,2989417.957,1857960.744,1621079.23,543661.5905,1569962.22,1621079.23,2263725.63
Canada,greenhouse_gas_emissions_(kt_of_CO2_equivalent),608685,626149.44,618673.62,655593.66,807222.82,836025.63,698763.38,690068.75,1129087.11,821594.26,760643,718534.46,908686.15,951373.04,1040136.77,849798.74,894922.55,892066.85,908926,749863.654,764137.6753,1033481.982,1027063.855,825717.3216,821594.26,144474.3472,698763.38,821594.26,908926
China,greenhouse_gas_emissions_(kt_of_CO2_equivalent),3892675.16,4035212.607,4172493.295,4398290.82,4613489.247,5042349.12,5181880.514,5113706.854,5141402.7,5079293.7,5082325.6,5145521.55,5474914.9,6226962.5,7116642.4,7803535.6,8573395.4,9124046.5,10022024.8,10617264.9,11183810.6,12064260,12454710.61,6850443.886,5181880.514,2710993.95,5042349.12,5181880.514,9124046.5
EuropeanUnion,greenhouse_gas_emissions_(kt_of_CO2_equivalent),5692720.793,5595510.517,5399872.425,5276954.553,5267323.82,5324011.907,5411909.136,5318851.567,5183115.749,5061972.728,5121050.564,5140262.447,5106069.558,5223719.346,5219034.57,5183933.055,5186381.63,5133722.155,5053634.024,4758745.151,4847306.347,4728177.558,4702090.246,5171146.515,5183933.055,243135.5428,5061972.728,5183933.055,5318851.567
France,greenhouse_gas_emissions_(kt_of_CO2_equivalent),554685.28,580971.95,564014.19,541094.38,538140.6,543013.14,572529.08,565220.99,577851.541,563699.027,559922.199,565204.3298,557850.1275,564607.176,560648.8432,557130.1263,547361.3761,540947.1359,544424.0617,527525.7765,532133.0404,502656.655,499146.6345,550468.5939,557130.1263,20519.95655,540947.1359,557130.1263,564607.176
UnitedKingdom,greenhouse_gas_emissions_(kt_of_CO2_equivalent),777244.23,782637.35,761019.6,733575.46,728677.75,728336.09,744362.82,716185.48,705167.71,680102.478,673897.408,683080.0911,661572.36,670993.347,662917.5991,659108.0918,658331.2438,646412.1481,635417.1726,584940.8797,609586.561,568061.8289,585779.7833,680756.8471,673897.408,59119.03584,646412.1481,673897.408,728677.75
Indonesia,greenhouse_gas_emissions_(kt_of_CO2_equivalent),1165113.41,2212869.12,2097491.51,1396509.98,2156232.29,1315570.67,1314060.75,5040841.3,1191187.16,668887.6,622464.65,849945.65,1720445.17,888646.15,1060213.55,1171042.59,2381293.72,772946.22,796581.92,1148285.679,744790.0241,763553.1649,780550.764,1402587.958,1165113.41,933981.418,780550.764,1165113.41,1720445.17
India,greenhouse_gas_emissions_(kt_of_CO2_equivalent),1387371.82,1443266.28,1486420.6,1521727.9,1581028.22,1651503.01,1708836.97,1761537.39,1768965,1956039,1885189,1875600.85,1917294.66,1976449.15,2090334.85,2117460.59,2232760.11,2382011.76,2438714.28,2594639.917,2771456.756,2828845.829,3002894.928,2016536.907,1917294.66,454807.0151,1651503.01,1917294.66,2382011.76
Italy,greenhouse_gas_emissions_(kt_of_CO2_equivalent),508764.943,506084.173,504110.294,496267.322,493411.783,518470.761,507338.856,508373.858,519046.022,521472.006,547349.86,543360.171,550782.069,564951.183,562794.853,564114.951,563324.943,547383.143,529283.803,480698.2231,489460.1327,482619.0375,482634.0003,521395.4951,518470.761,28069.75681,496267.322,518470.761,547383.143
Japan,greenhouse_gas_emissions_(kt_of_CO2_equivalent),1304676.03,1318933.78,1330643.26,1333072.7,1385835.23,1421640.91,1424112.7,1414397.05,1371363.01,1399008.939,1406194.588,1387952.208,1422453.194,1428102.126,1427399.203,1439905.158,1425898.63,1461356.118,1385164.839,1290243.648,1350427.913,1396767.261,1478858.881,1391495.973,1399008.939,48799.66401,1350427.913,1399008.939,1425898.63
"Korea,Rep.",greenhouse_gas_emissions_(kt_of_CO2_equivalent),300501.326,328691.416,354614.82,385035.318,418012.512,453629.667,487344.746,513934.866,450493.845,489986.3208,512819.936,522374.159,534839.283,546211.1138,562450.9571,561372.5433,565697.2007,575558.3818,594982.1988,594493.2022,628838.7211,650085.5349,668989.6514,508737.2922,522374.159,97993.15583,450493.845,522374.159,575558.3818
Mexico,greenhouse_gas_emissions_(kt_of_CO2_equivalent),494151.02,505174.028,494645.64,502121.057,520225.772,515961.212,532804.427,539136.339,692323.18,553847.34,576489.52,547960.58,567679.66,601685.72,567790.06,641308.82,642137.77,646318.66,644167.96,648860.0791,643375.4336,652861.2915,663424.9544,582367.4141,567790.06,62566.28184,520225.772,567790.06,644167.96
SaudiArabia,greenhouse_gas_emissions_(kt_of_CO2_equivalent),,262037.697,262037.697,262037.697,262037.697,262037.697,276181.966,280673.769,292876.646,295772.016,310713.5,321603.515,336300.494,355029.43,355029.43,355029.43,355029.43,419852.998,446765.124,471266.3266,471266.3266,514967.2626,514967.2626,349250.6096,328952.0045,84168.25023,272645.8988,328952.0045,426581.0295
Turkey,greenhouse_gas_emissions_(kt_of_CO2_equivalent),224459.0446,226728.432,237906.463,244901.253,240893.454,261203.422,278000.492,289681.095,295884.83,295553.274,316464.841,297564.107,310061.148,323781.172,333497.624,347595.11,377156.061,406298.253,399181.904,404636.7231,422721.8742,434798.4612,445640.0784,322374.3094,310061.148,68806.69381,261203.422,310061.148,399181.904
UnitedStates,greenhouse_gas_emissions_(kt_of_CO2_equivalent),6136093.5,6073643.8,6137498.4,6282704.3,6374979.2,6365296.6,6577713.1,6724414.4,6749016.1,6808137.8,6969123.8,6821235.6,6981786.8,6991255.2,7244271.5,7182808.4,6994086.9,7128951.7,6648991.2,6604068.952,6713348.969,6571653.977,6343840.508,6670648.726,6713348.969,338464.5412,6365296.6,6713348.969,6981786.8
SouthAfrica,greenhouse_gas_emissions_(kt_of_CO2_equivalent),349202.002,343391.118,353846.549,347840.727,355673.58,371350.205,383673.271,403030.554,457895.896,430853.836,420482.753,416031.241,434071.075,456334.126,472713.791,498312.886,480054.73,502130.255,502130.255,502130.255,502130.255,502130.255,502130.255,434240.8639,434071.075,58973.42748,371350.205,434071.075,502130.255
Argentina,Urban_population,28373007,28887229,29352243,29809452,30260590,30705908,31145811,31579645,32009566,32438320,32867357,33297967,33728934,34159485,34588886,35015695,35439470,35861110,36284569,36714245,37055902,37543830,38027774,33267260.65,33297967,2869266.326,30705908,33297967,35861110
Australia,Urban_population,14579227,14761055,14920611,15044687,15181749,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,16599191.96,16326333,1420939.025,15342767,16326333,17666387
Brazil,Urban_population,110146163,113265899,116379447,119489196,122608542,125743641,128896593,132175402,135456370,138709641,141915773,144508698,147005321,149452654,151843988,154176524,156447985,158660052,160823508,162949977,165055094,167158525,169240750,142265641,144508698,18036375.7,125743641,144508698,158660052
Canada,Urban_population,21206427,21482271,21813814,22130869,22450573,22760570,23081461,23428320,23739358,24048329,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,24656488.43,24757782,2083538.997,22760570,24757782,26441461
China,Urban_population,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,678933504,699187267,484583841.8,471767321,122035506.9,373035157,471767321,595670841
EuropeanUnion,Urban_population,336414397,338207884,339885217,341538710,343025092,344342751,345577350,346755773,347890412,349161881,350394604,351835772,353892531,356340103,358892609,361452743,363946890,366523955,369066134,371289917,373226783,374086300,375924737,354768371.5,351835772,12221924.93,344342751,351835772,366523955
France,Urban_population,43127028,43467991,43785894,44077099,44342923,44604027,44863823,45123550,45390693,45743988,46214923,46709571,47206863,47699501,48209404,48730233,49228316,49690034,50127513,50547198,50961407,51373800,51791144,47087692.3,46709571,2712749.027,44604027,46709571,49690034
UnitedKingdom,Urban_population,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600299,52130415,47408666.43,46557334,2282494.324,45459651,46557334,49351705
Indonesia,Urban_population,55483475,58355038,61396542,64522965,67741187,71046004,74433222,77897525,81452538,85098300,88840036,91738482,94698443,97720468,100811250,103961908,107178769,110459097,113814309,117243827,120709130,124016544,127396459,91131109.48,91738482,21760318.79,71046004,91738482,110459097
India,Urban_population,223096279,229752408,236274335,242896345,249629427,256470883,263440887,270523260,277707327,284978106,292322757,300118524,308796507,317584393,326495067,335503762,344622641,353850625,363154577,372465917,381763166,391040303,400417728,305343705.4,300118524,53758789.84,256470883,300118524,353850625
Italy,Urban_population,37846480,37861339,37907512,37964793,38006634,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40894259,38863743.87,38333314,994450.4662,38041344,38333314,39722857
Japan,Urban_population,95542280,96005316,96414127,96821759,97320876,97862490,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761,114107975,115228215,116302928,116416235,116331281,104687255.1,101706485,7575984.056,97862490,101706485,112827761
"Korea,Rep.",Urban_population,31656393,32459655,33169705,33872973,34575766,35280305,35810625,36259672,36633453,37006183,37428328,37867709,38258247,38626122,38947802,39195731,39490771,39740941,40093884,40351067,40602657,40909592,41089082,37362028.83,37867709,2756946.19,35280305,37867709,39740941
Mexico,Urban_population,59951345,61411745,62876086,64340297,65800649,67251519,68621427,69944968,71260342,72568684,73899942,75268749,76634718,78013778,79428213,80890450,82408287,83973950,85573769,87182005,88781439,90370891,91948801,75582698,75268749,9489429.639,67251519,75268749,83973950
SaudiArabia,Urban_population,12432320,12952377,13454748,13888412,14285427,14663134,15019607,15360171,15704580,16078075,16499665,16978440,17510539,18084339,18680566,19286107,19893608,20507062,21137735,21801430,22508632,23264870,24058860,17567421.91,16978440,3388390.537,14663134,16978440,20507062
Turkey,Urban_population,31923300,32891192,33738148,34589980,35453793,36333541,37230469,38142785,39068844,40002835,40942334,41943212,42979004,44016864,45048098,46065713,47064036,48048353,49047262,50096864,51225589,52440387,53730762,42261885.43,41943212,6502210.254,36333541,41943212,48048353
UnitedStates,Urban_population,187966119,191509147,195199459,198806845,202278113,205718394,209146726,212694273,216206090,219721677,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278,244607104,247276259,249848865,252205322,254611627,223759225.1,225792302,20075718.92,205718394,225792302,241795278
SouthAfrica,Urban_population,19149881,19822817,20511177,21212379,21906214,22576687,23218617,23836117,24431488,25011815,25582579,26143328,26720456,27305501,27898739,28506195,29131012,29774433,30442138,31137754,31866171,32630538,33429132,26184572.52,26143328,4158444.156,22576687,26143328,29774433
